rank,name,point
1,柯洁,2705.3
2,李轩豪,2698.7
3,杨鼎新,2670.4
4,范廷钰,2668.4
5,丁浩,2668
6,辜梓豪,2662.6
7,芈昱廷,2662.3
8,谢尔豪,2650.5
9,李钦诚,2646.9
10,李维清,2630.5
11,时越,2622.8
12,江维杰,2617.5
13,柁嘉熹,2613.4
14,谢科,2613.3
15,连笑,2612.5
16,党毅飞,2598
17,杨楷文,2590.3
18,赵晨宇,2585.9
19,陈耀烨,2584.7
20,许嘉阳,2584.4
21,廖元赫,2580.8
22,王檄,2576
23,彭立尧,2575
24,檀啸,2574.1
25,陶欣然,2572.9
26,黄云嵩,2562.7
27,唐韦星,2561.8
28,王星昊,2559.4
29,陈贤,2550.3
30,范胤,2539.9
31,童梦成,2538.6
32,屠晓宇,2526.4
33,孟泰龄,2520.2
34,张涛,2505.9
35,伊凌涛,2501.8
36,陈梓健,2498.3
37,韩一洲,2496.1
38,王泽锦,2494.3
39,周睿羊,2491.5
40,李铭,2490.1
41,戎毅,2484.6
42,毛睿龙,2477.9
43,夏晨琨,2475.5
44,古力,2474.3
45,刘星,2473
46,钟文靖,2471
47,邬光亚,2469.8
48,蒋其润,2462.4
49,孙腾宇,2461.9
50,谢赫,2451
51,胡跃峰,2448.1
52,陈玉侬,2447.2
53,彭荃,2446.7
54,王昊洋,2445.8
55,曹潇阳,2442.4
56,李翔宇,2439.5
57,刘宇航,2434.1
58,於之莹*,2430.8
59,廖行文,2430.7
59,郭闻潮,2430.7
61,古灵益,2430.5
62,常昊,2429
63,蔡竞,2428.9
64,何语涵,2428.5
65,胡耀宇,2428
66,国宇征,2426.9
67,罗洗河,2426
68,周贺玺,2425.3
69,严欢,2424.6
70,陈昱森,2422
71,周泓余*,2421
72,胡钰函,2419
73,汪涛,2418.6
74,沈沛然,2411.5
75,黄昕,2410.4
76,陈正勋,2409.7
77,李成森,2408.8
78,王晨星*,2407.8
79,陈浩,2404.9
80,张维,2400.5
